Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Hyundai i10,Hyundai,Ahmedabad,2012,69220,Petrol,Manual,1,0,1197.0,80.0,5.0,262500
Maruti New Wagon-R,Maruti,Ahmedabad,2019,27734,Petrol,Automatic,1,0,1197.0,83.0,5.0,526000
Tata PUNCH,Tata,Ahmedabad,2021,45950,Petrol,Manual,1,0,1199.0,86.0,5.0,734000
Maruti Alto,Maruti,Ahmedabad,2019,39071,Petrol,Manual,1,0,796.0,48.0,5.0,367000
Tata PUNCH,Tata,Ahmedabad,2023,4148,Petrol,Manual,1,0,1199.0,86.0,5.0,789000
Mahindra KUV 100 NXT,Mahindra,Ahmedabad,2019,80049,Petrol,Manual,1,0,1198.0,82.0,6.0,385000
MG HECTOR,MG,Ahmedabad,2022,79007,Petrol,Manual,1,0,1451.0,143.0,5.0,1385000
Jeep Compass,Jeep,Ahmedabad,2018,60972,Diesel,Manual,2,0,1956.0,173.0,5.0,979600
Honda Amaze,Honda,Ahmedabad,2019,69324,Petrol,Manual,2,0,1199.0,90.0,5.0,603000
Honda Jazz,Honda,Ahmedabad,2016,80544,Petrol,Automatic,1,0,1199.0,90.0,5.0,492000
Tata NEXON,Tata,Ahmedabad,2023,18122,Petrol,Manual,1,0,1199.0,120.0,5.0,909000
Datsun Redi Go,Datsun,Ahmedabad,2018,68162,Petrol,Manual,1,0,999.0,68.0,5.0,259000
Maruti Alto,Maruti,Ahmedabad,2020,29588,Petrol,Manual,2,0,796.0,48.0,5.0,339000
Hyundai i10,Hyundai,Ahmedabad,2013,32569,Petrol,Manual,1,0,1086.0,69.0,5.0,302000
Hyundai Eon,Hyundai,Ahmedabad,2017,74468,Petrol,Manual,2,0,814.0,56.0,5.0,273000
Hyundai Grand i10,Hyundai,Ahmedabad,2017,52840,CNG,Manual,2,0,1197.0,83.0,5.0,529000
Renault TRIBER,Renault,Ahmedabad,2019,53484,Petrol,Manual,1,0,999.0,72.0,7.0,565000
Tata Harrier,Tata,Ahmedabad,2021,47873,Diesel,Automatic,2,0,1956.0,170.0,5.0,1592000
Honda WR-V,Honda,Ahmedabad,2017,106245,Diesel,Manual,2,0,1498.0,100.0,5.0,642000
Maruti Ciaz,Maruti,Ahmedabad,2021,11395,Petrol,Manual,1,0,1462.0,105.0,5.0,883000
Maruti Alto 800,Maruti,Ahmedabad,2017,35703,Petrol,Manual,2,0,796.0,48.0,5.0,291000
Maruti Ciaz,Maruti,Ahmedabad,2021,28610,Petrol,Manual,1,0,1462.0,105.0,5.0,866000
Renault Kwid,Renault,Ahmedabad,2021,20267,Petrol,Manual,1,0,799.0,54.0,5.0,441000
Hyundai NEW SANTRO,Hyundai,Ahmedabad,2022,5485,Petrol,Manual,1,0,1086.0,69.0,5.0,517000
Maruti Dzire,Maruti,Ahmedabad,2017,70959,Diesel,Manual,1,0,1248.0,75.0,5.0,615000
Maruti Alto K10,Maruti,Ahmedabad,2014,36066,Petrol,Manual,2,0,998.0,68.0,5.0,259000
Maruti Alto,Maruti,Ahmedabad,2020,32946,Petrol,Manual,1,0,796.0,48.0,5.0,368000
Hyundai i10,Hyundai,Ahmedabad,2011,114783,Petrol,Manual,1,0,1086.0,69.0,5.0,230000
Hyundai i10,Hyundai,Ahmedabad,2012,71100,Petrol,Manual,1,0,1086.0,69.0,5.0,261000
Datsun Redi Go,Datsun,Ahmedabad,2017,50790,Petrol,Manual,1,0,799.0,54.0,5.0,217000
Maruti Wagon R 1.0,Maruti,Ahmedabad,2014,53063,Petrol,Manual,2,0,998.0,68.0,5.0,343000
Maruti Wagon R 1.0,Maruti,Ahmedabad,2017,19767,Petrol,Automatic,1,0,998.0,68.0,5.0,446000
Maruti Wagon R 1.0,Maruti,Ahmedabad,2016,73587,Petrol,Manual,2,0,998.0,68.0,5.0,318000
Hyundai Santro Xing,Hyundai,Ahmedabad,2013,65325,Petrol,Manual,1,0,1086.0,63.0,5.0,251000
Maruti Baleno,Maruti,Ahmedabad,2018,72942,Petrol,Manual,1,0,1197.0,84.0,5.0,548000
Hyundai Elite i20,Hyundai,Ahmedabad,2016,80868,Petrol,Manual,1,0,1197.0,83.0,5.0,534000
MG HECTOR,MG,Ahmedabad,2019,47069,Petrol,Manual,1,0,1451.0,143.0,5.0,1201000
MG HECTOR,MG,Ahmedabad,2019,37254,Petrol,Manual,2,0,1451.0,143.0,5.0,1199000
Hyundai Grand i10,Hyundai,Ahmedabad,2015,81725,Petrol,Manual,1,0,1197.0,83.0,5.0,452000
Tata NEXON,Tata,Ahmedabad,2022,35285,Diesel,Manual,1,0,1497.0,110.0,5.0,1156000
Hyundai Grand i10,Hyundai,Ahmedabad,2013,33855,Petrol,Manual,2,0,1197.0,83.0,5.0,394000
Honda Brio,Honda,Ahmedabad,2015,91821,Petrol,Manual,2,0,1198.0,88.0,5.0,299000
Tata Harrier,Tata,Ahmedabad,2022,19969,Diesel,Automatic,2,0,1956.0,170.0,5.0,1881000
Maruti Alto K10,Maruti,Ahmedabad,2018,46028,Petrol,Manual,2,0,998.0,68.0,5.0,325000
Maruti Ciaz,Maruti,Ahmedabad,2016,40789,Petrol,Manual,1,0,1248.0,90.0,5.0,705000
Maruti Alto,Maruti,Ahmedabad,2019,64745,Petrol,Manual,1,0,796.0,48.0,5.0,336000
Tata Harrier,Tata,Ahmedabad,2021,52676,Diesel,Automatic,2,0,1956.0,170.0,5.0,1707000
Maruti Wagon R 1.0,Maruti,Ahmedabad,2016,25881,Petrol,Manual,2,0,998.0,68.0,5.0,363000
