Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti Swift,Maruti,Hyderabad,2012,71115,Petrol,Manual,3,0,1197.0,87.0,5.0,366000
Hyundai Creta,Hyundai,Hyderabad,2017,96121,Diesel,Manual,1,0,1582.0,128.0,5.0,1015000
Hyundai Verna,Hyundai,Hyderabad,2015,100902,Diesel,Manual,1,0,1582.0,128.0,5.0,599000
Maruti Swift,Maruti,Hyderabad,2018,94413,Diesel,Automatic,1,0,1248.0,75.0,5.0,673000
Honda Brio,Honda,Hyderabad,2012,91067,Petrol,Manual,2,0,1198.0,88.0,5.0,258000
Mahindra XUV300,Mahindra,Hyderabad,2019,38833,Petrol,Manual,1,0,1197.0,110.0,5.0,806000
Maruti Dzire,Maruti,Hyderabad,2017,82302,Diesel,Automatic,1,0,1248.0,75.0,5.0,735000
Hyundai Creta,Hyundai,Hyderabad,2019,35188,Petrol,Manual,1,0,1591.0,123.0,5.0,1010700
Tata Tiago,Tata,Hyderabad,2021,41884,Petrol,Automatic,1,0,1199.0,86.0,5.0,662000
Maruti Swift,Maruti,Hyderabad,2018,106179,Petrol,Automatic,2,0,1197.0,83.0,5.0,559000
Maruti Wagon R 1.0,Maruti,Hyderabad,2010,81637,Petrol,Manual,3,0,998.0,68.0,5.0,234400
MG HECTOR,MG,Hyderabad,2020,74979,Petrol,Automatic,1,0,1451.0,143.0,5.0,1473000
Hyundai Eon,Hyundai,Hyderabad,2013,67729,Petrol,Manual,2,0,814.0,56.0,5.0,230000
Ford Ecosport,Ford,Hyderabad,2016,81345,Petrol,Manual,1,0,999.0,125.0,5.0,508000
Honda WR-V,Honda,Hyderabad,2018,95683,Petrol,Manual,1,0,1199.0,90.0,5.0,725000
Maruti Baleno,Maruti,Hyderabad,2016,97531,Petrol,Manual,1,0,1197.0,84.0,5.0,513000
Tata Tiago,Tata,Hyderabad,2017,86495,Petrol,Automatic,2,0,1199.0,85.0,5.0,449300
Volkswagen Vento,Volkswagen,Hyderabad,2021,17712,Petrol,Automatic,1,0,999.0,110.0,5.0,1037000
Tata ALTROZ,Tata,Hyderabad,2021,43222,Petrol,Manual,1,0,1199.0,86.0,5.0,721000
Maruti Celerio,Maruti,Hyderabad,2022,48731,CNG,Manual,1,0,998.0,57.0,5.0,637000
Maruti Swift,Maruti,Hyderabad,2017,112727,Diesel,Manual,2,0,1248.0,75.0,5.0,532000
Maruti Dzire,Maruti,Hyderabad,2021,45407,Petrol,Manual,1,0,1197.0,90.0,5.0,718000
Skoda Rapid,Skoda,Hyderabad,2017,105927,Petrol,Automatic,1,0,1598.0,105.0,5.0,711000
Ford FREESTYLE,Ford,Hyderabad,2019,76352,Petrol,Manual,1,0,1194.0,96.0,5.0,515000
Hyundai Verna,Hyundai,Hyderabad,2017,85925,Petrol,Manual,1,0,1591.0,123.0,5.0,668000
Ford Ecosport,Ford,Hyderabad,2017,79181,Petrol,Automatic,1,0,1496.0,122.0,5.0,759000
Maruti Alto,Maruti,Hyderabad,2021,24381,Petrol,Manual,2,0,796.0,48.0,5.0,392000
Hyundai Elite i20,Hyundai,Hyderabad,2020,44820,Petrol,Manual,1,0,1197.0,83.0,5.0,616000
Mahindra XUV300,Mahindra,Hyderabad,2021,38401,Diesel,Manual,1,0,1497.0,117.0,5.0,1201000
Maruti Swift,Maruti,Hyderabad,2014,54507,Petrol,Manual,1,0,1197.0,87.0,5.0,446300
Maruti BREZZA,Maruti,Hyderabad,2023,22737,Petrol,Manual,1,0,1462.0,103.0,5.0,1256300
Honda Civic,Honda,Hyderabad,2019,87192,Petrol,Automatic,2,0,1799.0,141.0,5.0,1626000
Renault TRIBER,Renault,Hyderabad,2022,37502,Petrol,Automatic,1,0,999.0,72.0,7.0,730000
