Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Maruti Alto 800,Maruti,Mumbai,2016,45935,Petrol,Manual,2,0,796,48,5.0,251000
Maruti Swift,Maruti,Mumbai,2012,15045,Petrol,Manual,1,0,1197,87,5.0,315000
Ford Ecosport,Ford,Mumbai,2018,87593,Diesel,Manual,2,0,1498,101,5.0,673000
Hyundai GRAND I10 NIOS,Hyundai,Mumbai,2019,47261,Petrol,Automatic,1,0,1197,83,5.0,577000
Hyundai i20,Hyundai,Mumbai,2011,122248,Petrol,Manual,1,0,1197,80,5.0,224500
Maruti Celerio,Maruti,Mumbai,2014,76296,Petrol,Automatic,1,0,998,68,5.0,312000
Hyundai Elite i20,Hyundai,Mumbai,2017,41718,Petrol,Manual,2,0,1197,83,5.0,469000
Tata TIGOR,Tata,Mumbai,2022,5837,CNG,Manual,1,0,1199,73,5.0,793000
Maruti Swift,Maruti,Mumbai,2014,83006,Diesel,Manual,1,0,1248,75,5.0,426000
Maruti Swift,Maruti,Mumbai,2016,35970,Petrol,Manual,1,0,1197,84,5.0,433000
Hyundai New Elantra,Hyundai,Mumbai,2018,48054,Diesel,Automatic,2,0,1582,128,5.0,1065000
Skoda Rapid,Skoda,Mumbai,2018,119830,Diesel,Automatic,1,0,1498,110,5.0,667000
Volkswagen VIRTUS,Volkswagen,Mumbai,2023,8966,Petrol,Automatic,1,0,1498,150,5.0,1732000
Maruti Swift Dzire,Maruti,Mumbai,2014,114899,Diesel,Manual,2,0,1248,75,5.0,465000
Hyundai AURA,Hyundai,Mumbai,2021,16365,Petrol,Manual,1,0,1197,83,5.0,685000
Maruti Wagon R 1.0,Maruti,Mumbai,2017,65289,Petrol,Automatic,1,0,998,68,5.0,366000
Hyundai Creta,Hyundai,Mumbai,2016,53911,Petrol,Manual,1,0,1591,123,5.0,658000
Maruti Baleno,Maruti,Mumbai,2020,14523,Petrol,Manual,2,0,1197,83,5.0,605000
