Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Mahindra XUV300,Mahindra,Pune,2022,7648,Petrol,Manual,1,0,1197,110,5.0,879000
Maruti New Wagon-R,Maruti,Pune,2021,15408,Petrol,Manual,1,0,1197,83,5.0,512000
Honda City,Honda,Pune,2012,56646,Petrol,Manual,2,0,1497,118,5.0,374000
Honda Amaze,Honda,Pune,2022,29474,Petrol,Manual,1,0,1199,90,5.0,790000
Hyundai Creta,Hyundai,Pune,2016,78147,Petrol,Automatic,1,0,1591,123,5.0,838000
Maruti New Wagon-R,Maruti,Pune,2019,32605,Petrol,Automatic,2,0,998,68,5.0,496000
Hyundai i10,Hyundai,Pune,2012,56647,Petrol,Manual,1,0,1197,80,5.0,286000
Honda WR-V,Honda,Pune,2017,83820,Diesel,Manual,1,0,1498,100,5.0,750000
Renault TRIBER,Renault,Pune,2019,17602,Petrol,Manual,1,0,999,72,7.0,604000
Hyundai Grand i10,Hyundai,Pune,2014,78658,Petrol,Manual,1,0,1197,83,5.0,408000
Maruti IGNIS,Maruti,Pune,2019,69689,Petrol,Manual,1,0,1197,83,5.0,478000
Maruti Wagon R Stingray,Maruti,Pune,2014,96993,Petrol,Manual,1,0,998,68,5.0,323000
Maruti IGNIS,Maruti,Pune,2018,54656,Petrol,Manual,1,0,1197,83,5.0,417000
Maruti New Wagon-R,Maruti,Pune,2021,7994,Petrol,Manual,1,0,1197,83,5.0,513000
KIA SELTOS,KIA,Pune,2019,69926,Diesel,Automatic,1,0,1493,115,5.0,1464000
Maruti Wagon R 1.0,Maruti,Pune,2012,63196,Petrol,Manual,1,0,998,68,5.0,283000
Renault TRIBER,Renault,Pune,2022,8260,Petrol,Manual,1,0,999,72,7.0,638000
Maruti Celerio,Maruti,Pune,2020,40609,CNG,Manual,1,0,998,59,5.0,565000
Hyundai i10,Hyundai,Pune,2014,43158,Petrol,Manual,2,0,1086,69,5.0,293000
Maruti IGNIS,Maruti,Pune,2017,56303,Petrol,Automatic,2,0,1197,83,5.0,468000
Mahindra XUV700,Mahindra,Pune,2023,18679,Diesel,Automatic,1,0,2184,185,7.0,2575000
Hyundai Creta,Hyundai,Pune,2019,69897,Petrol,Automatic,2,0,1591,123,5.0,1089000
Renault Kwid,Renault,Pune,2021,14172,Petrol,Manual,2,0,999,68,5.0,467000
Mahindra XUV300,Mahindra,Pune,2019,39024,Diesel,Manual,1,0,1497,117,5.0,985000
Tata Tiago,Tata,Pune,2020,36017,Petrol,Manual,1,0,1199,86,5.0,603000
Honda Amaze,Honda,Pune,2020,12756,Petrol,Automatic,1,0,1498,80,5.0,760000
Maruti Celerio,Maruti,Pune,2021,38181,Petrol,Manual,1,0,998,68,5.0,508000
Maruti Wagon R Stingray,Maruti,Pune,2014,80360,Petrol,Manual,2,0,998,68,5.0,338000
MG HECTOR,MG,Pune,2019,42379,Petrol,Automatic,1,0,1451,143,5.0,1470000
Maruti New Wagon-R,Maruti,Pune,2022,20485,Petrol,Manual,1,0,998,67,5.0,566000
Maruti Ciaz,Maruti,Pune,2018,51277,Petrol,Manual,2,0,1373,92,5.0,588000
Maruti Wagon R 1.0,Maruti,Pune,2016,36942,Petrol,Manual,2,0,998,68,5.0,360000
Honda City,Honda,Pune,2020,32353,Petrol,Manual,2,0,1498,121,5.0,1092000
Maruti IGNIS,Maruti,Pune,2017,41186,Petrol,Automatic,1,0,1197,83,5.0,496000
Volkswagen Ameo,Volkswagen,Pune,2017,58693,Diesel,Automatic,1,0,1498,110,5.0,648000
Honda Amaze,Honda,Pune,2018,21653,Petrol,Automatic,1,0,1498,80,5.0,663000
Tata NEXON,Tata,Pune,2020,36154,Petrol,Manual,1,0,1199,120,5.0,908000
Toyota Etios Liva,Toyota,Pune,2012,60803,Petrol,Manual,1,0,1197,80,5.0,313000
Maruti New Wagon-R,Maruti,Pune,2023,11054,Petrol,Manual,1,0,1197,90,5.0,616400
Maruti New Wagon-R,Maruti,Pune,2022,9464,Petrol,Manual,1,0,1197,90,5.0,582000
Hyundai i10,Hyundai,Pune,2011,75333,Petrol,Manual,3,0,1197,80,5.0,211000
Honda Amaze,Honda,Pune,2019,12905,Petrol,Automatic,1,0,1199,90,5.0,774000
MG HECTOR,MG,Pune,2020,33262,Petrol,Automatic,1,0,1451,143,5.0,1573700
Honda Amaze,Honda,Pune,2022,17398,Petrol,Manual,1,0,1199,90,5.0,817000
Maruti Celerio,Maruti,Pune,2018,99211,CNG,Manual,1,0,998,59,5.0,469000
Maruti S PRESSO,Maruti,Pune,2023,1207,Petrol,Automatic,1,0,998,67,5.0,563000
Honda Jazz,Honda,Pune,2021,16113,Petrol,Manual,2,0,1199,90,5.0,785000
Maruti IGNIS,Maruti,Pune,2020,58158,Petrol,Automatic,1,0,1197,83,5.0,570000
Maruti New Wagon-R,Maruti,Pune,2019,57936,Petrol,Manual,1,0,998,68,5.0,477000
Honda City,Honda,Pune,2012,50196,Petrol,Manual,2,0,1497,118,5.0,404000
Maruti Ciaz,Maruti,Pune,2020,28539,Petrol,Automatic,1,0,1462,105,5.0,905000
Ford FREESTYLE,Ford,Pune,2019,67117,Petrol,Manual,1,0,1194,96,5.0,588000
Maruti New Wagon-R,Maruti,Pune,2021,13365,Petrol,Automatic,1,0,1197,83,5.0,596000
Maruti Wagon R 1.0,Maruti,Pune,2012,105803,CNG,Manual,1,0,998,68,5.0,299000
Maruti Wagon R 1.0,Maruti,Pune,2014,65835,CNG,Manual,1,0,998,59,5.0,390000
Maruti Wagon R Stingray,Maruti,Pune,2015,71251,Petrol,Manual,1,0,998,68,5.0,387000
Hyundai NEW SANTRO,Hyundai,Pune,2020,65837,CNG,Manual,1,0,1086,60,5.0,515000
Skoda Rapid,Skoda,Pune,2018,41289,Diesel,Manual,2,0,1498,110,5.0,806000
Mahindra XUV300,Mahindra,Pune,2021,29321,Diesel,Automatic,1,0,1497,117,5.0,988000
Honda WR-V,Honda,Pune,2020,16840,Petrol,Manual,1,0,1199,90,5.0,760000
Maruti Ciaz,Maruti,Pune,2018,85512,Petrol,Automatic,1,0,1373,92,5.0,684000
Maruti New Wagon-R,Maruti,Pune,2023,5169,Petrol,Manual,1,0,998,67,5.0,589000
Honda City,Honda,Pune,2018,47489,Petrol,Manual,2,0,1497,119,5.0,818000
Hyundai Grand i10,Hyundai,Pune,2013,81148,Petrol,Manual,1,0,1197,83,5.0,416000
Maruti Celerio,Maruti,Pune,2019,37817,Petrol,Manual,1,0,998,68,5.0,448000
Maruti Wagon R 1.0,Maruti,Pune,2016,85873,Petrol,Automatic,2,0,998,68,5.0,358000
Mahindra XUV300,Mahindra,Pune,2020,44281,Petrol,Manual,1,0,1197,110,5.0,938000
Maruti Baleno,Maruti,Pune,2017,69911,Petrol,Manual,2,0,1197,84,5.0,556000
Honda Amaze,Honda,Pune,2021,18407,Petrol,Automatic,1,0,1199,90,5.0,820000
MG HECTOR,MG,Pune,2019,26226,Petrol,Automatic,1,0,1451,143,5.0,1529000
Mahindra XUV300,Mahindra,Pune,2022,19363,Petrol,Manual,1,0,1197,110,5.0,1105000
Mahindra XUV300,Mahindra,Pune,2021,28830,Diesel,Automatic,1,0,1497,117,5.0,1265000
Honda Jazz,Honda,Pune,2017,22460,Petrol,Automatic,1,0,1199,90,5.0,520000
Maruti Alto K10,Maruti,Pune,2015,31342,Petrol,Automatic,2,0,998,68,5.0,312000
Mahindra XUV500,Mahindra,Pune,2017,65642,Diesel,Manual,2,0,2179,140,7.0,759000
Honda Jazz,Honda,Pune,2016,32355,Petrol,Manual,1,0,1199,90,5.0,425700
Volkswagen Polo,Volkswagen,Pune,2017,31371,Petrol,Manual,1,0,1198,75,5.0,538000
Volkswagen Vento,Volkswagen,Pune,2015,72679,Petrol,Automatic,1,0,1197,105,5.0,469600
