Name,Automaker,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(kmpl),Engine (CC),Power (bhp),Seats,Price
Nissan MAGNITE,Nissan,Chennai,2021,45851,Petrol,Automatic,1,0,999,100,5.0,886000
Tata PUNCH,Tata,Chennai,2021,37860,Petrol,Manual,1,0,1199,86,5.0,747000
KIA SELTOS,KIA,Chennai,2019,62939,Petrol,Automatic,1,0,1353,140,5.0,1275000
Honda WR-V,Honda,Chennai,2017,79390,Petrol,Manual,2,0,1199,90,5.0,600000
Hyundai VENUE,Hyundai,Chennai,2019,105612,Petrol,Automatic,1,0,998,120,5.0,808000
Tata TIGOR,Tata,Chennai,2019,48545,Petrol,Manual,1,0,1199,85,5.0,590000
Maruti Ciaz,Maruti,Chennai,2017,77367,Petrol,Manual,2,0,1373,92,5.0,657000
Honda City,Honda,Chennai,2016,46171,Petrol,Automatic,1,0,1497,119,5.0,692000
Renault Kwid,Renault,Chennai,2022,7960,Petrol,Manual,1,0,999,68,5.0,485500
Mahindra Kuv100,Mahindra,Chennai,2016,16621,Petrol,Manual,2,0,1198,82,6.0,437000
KIA SELTOS,KIA,Chennai,2020,68211,Petrol,Automatic,1,0,1353,140,5.0,1368000
Ford Ecosport,Ford,Chennai,2020,31546,Petrol,Automatic,2,0,1496,122,5.0,862000
Maruti Ciaz,Maruti,Chennai,2017,77055,Petrol,Manual,1,0,1373,92,5.0,675000
Hyundai Creta,Hyundai,Chennai,2018,58082,Petrol,Automatic,1,0,1591,123,5.0,938400
Honda Jazz,Honda,Chennai,2016,59984,Petrol,Manual,1,0,1199,90,5.0,504000
Hyundai VENUE,Hyundai,Chennai,2019,55072,Petrol,Automatic,1,0,998,120,5.0,858000
Volkswagen Vento,Volkswagen,Chennai,2016,112919,Diesel,Automatic,1,0,1498,105,5.0,574000
Hyundai VENUE,Hyundai,Chennai,2019,49825,Petrol,Manual,1,0,998,120,5.0,866850
Maruti S PRESSO,Maruti,Chennai,2019,54226,Petrol,Automatic,1,0,998,68,5.0,453000
Volkswagen Polo,Volkswagen,Chennai,2016,92490,Petrol,Manual,3,0,1198,75,5.0,498000
Tata TIGOR,Tata,Chennai,2022,32213,Petrol,Manual,1,0,1199,86,5.0,730000
Maruti Celerio,Maruti,Chennai,2017,41727,Petrol,Manual,2,0,998,68,5.0,420000
Renault TRIBER,Renault,Chennai,2021,44120,Petrol,Automatic,1,0,999,72,7.0,679000
Hyundai Eon,Hyundai,Chennai,2016,47629,Petrol,Manual,2,0,814,56,5.0,285400
Honda Jazz,Honda,Chennai,2016,55386,Petrol,Manual,2,0,1199,90,5.0,446000
Ford FREESTYLE,Ford,Chennai,2019,28138,Petrol,Manual,1,0,1194,96,5.0,622000
Tata ALTROZ,Tata,Chennai,2021,64833,Petrol,Manual,1,0,1199,86,5.0,706000
Hyundai NEW SANTRO,Hyundai,Chennai,2019,14502,Petrol,Automatic,2,0,1086,69,5.0,505000
Volkswagen Vento,Volkswagen,Chennai,2016,90324,Petrol,Manual,2,0,1598,105,5.0,621000
Tata ALTROZ,Tata,Chennai,2022,29915,Petrol,Automatic,1,0,1199,88,5.0,839000
Honda Jazz,Honda,Chennai,2017,71037,Petrol,Automatic,3,0,1199,90,5.0,488000
Hyundai NEW SANTRO,Hyundai,Chennai,2018,37699,Petrol,Automatic,1,0,1086,69,5.0,506000
Tata TIAGO NRG,Tata,Chennai,2019,70406,Diesel,Manual,1,0,1047,70,5.0,501000
Honda Jazz,Honda,Chennai,2017,70471,Petrol,Manual,2,0,1199,90,5.0,580600
Hyundai VENUE,Hyundai,Chennai,2019,97443,Petrol,Automatic,1,0,998,120,5.0,864800
Honda City,Honda,Chennai,2017,97349,Petrol,Manual,2,0,1497,119,5.0,728000
Hyundai VENUE,Hyundai,Chennai,2020,54289,Petrol,Automatic,1,0,998,120,5.0,921000
Tata ALTROZ,Tata,Chennai,2022,24873,Petrol,Manual,1,0,1199,110,5.0,793000
Volkswagen TAIGUN,Volkswagen,Chennai,2022,13019,Petrol,Manual,1,0,999,115,5.0,1407000
Hyundai Elite i20,Hyundai,Chennai,2017,90170,Diesel,Manual,1,0,1396,90,5.0,558000
Hyundai Creta,Hyundai,Chennai,2016,56168,Petrol,Automatic,1,0,1591,123,5.0,915000
Datsun Redi Go,Datsun,Chennai,2021,25247,Petrol,Manual,1,0,999,68,5.0,390000
Hyundai Grand i10,Hyundai,Chennai,2017,76899,Petrol,Automatic,1,0,1197,83,5.0,521000
Tata NEXON,Tata,Chennai,2019,70887,Petrol,Automatic,1,0,1198,110,5.0,792000
Maruti Baleno,Maruti,Chennai,2020,72538,Petrol,Automatic,1,0,1197,83,5.0,744000
Hyundai Eon,Hyundai,Chennai,2016,49513,Petrol,Manual,2,0,814,56,5.0,286200
Honda City,Honda,Chennai,2019,32175,Petrol,Automatic,3,0,1497,119,5.0,894000
Tata NEXON,Tata,Chennai,2022,10212,Petrol,Manual,1,0,1199,120,5.0,1074000
